/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

          4.27G 100%   69.56MB/s    0:01:02 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  68.93M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        446.09M  10%  446.06MB/s    0:00:09  
        702.09M  16%  335.59MB/s    0:00:11  
        800.84M  18%  258.24MB/s    0:00:14  
        858.84M  19%  209.42MB/s    0:00:17  
        920.84M  21%  105.57MB/s    0:00:33  
       1008.59M  23%   69.58MB/s    0:00:49  
          1.05G  24%   61.36MB/s    0:00:55  
          1.10G  25%   61.48MB/s    0:00:54  
          1.16G  27%   66.92MB/s    0:00:48  
          1.23G  28%   61.51MB/s    0:00:51  
          1.28G  29%   58.83MB/s    0:00:53  
          1.33G  31%   58.34MB/s    0:00:52  
          1.40G  32%   60.33MB/s    0:00:49  
          1.45G  34%   56.46MB/s    0:00:52  
          1.52G  35%   60.97MB/s    0:00:47  
          1.58G  36%   59.51MB/s    0:00:47  
          1.65G  38%   60.29MB/s    0:00:45  
          1.71G  39%   60.05MB/s    0:00:44  
          1.78G  41%   59.79MB/s    0:00:43  
          1.83G  42%   58.84MB/s    0:00:43  
          1.90G  44%   58.81MB/s    0:00:42  
          1.96G  45%   58.65MB/s    0:00:41  
          2.02G  47%   57.95MB/s    0:00:40  
          2.08G  48%   61.16MB/s    0:00:37  
          2.14G  50%   58.12MB/s    0:00:38  
          2.20G  51%   60.68MB/s    0:00:35  
          2.25G  52%   58.39MB/s    0:00:36  
          2.31G  54%   58.02MB/s    0:00:35  
          2.37G  55%   58.08MB/s    0:00:34  
          2.42G  56%   58.10MB/s    0:00:33  
          2.48G  58%   58.80MB/s    0:00:31  
          2.54G  59%   58.27MB/s    0:00:31  
          2.59G  60%   56.78MB/s    0:00:31  
          2.65G  62%   58.04MB/s    0:00:29  
          2.70G  63%   55.46MB/s    0:00:29  
          2.77G  64%   58.13MB/s    0:00:27  
