/media/ramdisk/centos.iso > /media/pc/m2sgx/centos.iso
sending incremental file list
centos.iso

          2.65G  61%   62.54MB/s    0:00:27  
          2.67G  62%   46.88MB/s    0:00:35  
          2.76G  64%   44.55MB/s    0:00:35  
          2.87G  67%   63.48MB/s    0:00:23  
          2.91G  68%   67.97MB/s    0:00:20  
          2.94G  68%   67.99MB/s    0:00:20  
          3.04G  71%   72.65MB/s    0:00:17  
          3.17G  74%   76.11MB/s    0:00:15  
          3.23G  75%   79.85MB/s    0:00:13  
          3.25G  75%   79.32MB/s    0:00:13  
          3.33G  77%   73.60MB/s    0:00:13  
          3.45G  80%   72.18MB/s    0:00:11  
          3.48G  81%   64.13MB/s    0:00:13  
          3.50G  81%   64.10MB/s    0:00:12  
          3.52G  82%   48.30MB/s    0:00:16  
          3.54G  82%   20.89MB/s    0:00:37  
          3.56G  83%   21.57MB/s    0:00:34  
          3.58G  83%   22.27MB/s    0:00:32  
          3.67G  85%   38.36MB/s    0:00:16  
          3.74G  87%   53.02MB/s    0:00:10  
          3.77G  88%   52.03MB/s    0:00:10  
          3.79G  88%   51.30MB/s    0:00:09  
          3.81G  89%   35.55MB/s    0:00:13  
          3.88G  90%   33.42MB/s    0:00:12  
          3.89G  91%   32.70MB/s    0:00:12  
          3.91G  91%   32.76MB/s    0:00:11  
          3.94G  92%   32.85MB/s    0:00:10  
          3.95G  92%   20.35MB/s    0:00:16  
          3.97G  92%   20.48MB/s    0:00:15  
          3.99G  93%   20.53MB/s    0:00:14  
          4.01G  93%   20.25MB/s    0:00:13  
          4.03G  94%   20.37MB/s    0:00:12  
          4.07G  95%   24.08MB/s    0:00:08  
          4.15G  97%   39.29MB/s    0:00:03  
          4.17G  97%   38.69MB/s    0:00:02  
          4.19G  97%   38.73MB/s    0:00:02  
          4.21G  98%   34.94MB/s    0:00:02  
          4.27G 100%   47.45MB/s    0:01:32 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  47.32M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
